Latitude,Longitude,Common Name,FEATUREITEM_ID,City Feature,Address,Website,Location
47.714678,-122.364699,Pipers Creek Natural Area,,Parks,600 NW 117TH ST,http://www.seattle.gov/parks/park_detail.asp?ID=275,"(47.714678, -122.364699)"
47.699037,-122.28962,Mock Creek Ravine,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=277,"(47.699037, -122.28962)"
47.635866,-122.345011,Northeast Queen Anne Greenbelt,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=279,"(47.635866, -122.345011)"
47.563271,-122.356966,West Duwamish Greenbelt,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=282,"(47.563271, -122.356966)"
47.698541,-122.338736,Licton Springs Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=286,"(47.698541, -122.338736)"
47.51783,-122.268561,Sturtevant Ravine,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=290,"(47.51783, -122.268561)"
47.705755,-122.336528,Mineral Springs Park,,Parks,1500 N 105TH STREET,http://www.seattle.gov/parks/park_detail.asp?ID=291,"(47.705755, -122.336528)"
47.645638,-122.334908,Gas Works Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=293,"(47.645638, -122.334908)"
47.570984,-122.412089,Cormorant Cove,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=295,"(47.570984, -122.412089)"
47.731387,-122.294567,Little Brook Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=297,"(47.731387, -122.294567)"
47.538315,-122.380151,Orchard Street Ravine,,Parks,39TH SW / SW ORCHARD ST,http://www.seattle.gov/parks/park_detail.asp?ID=300,"(47.538315, -122.380151)"
47.733024,-122.364545,Llandover Woods Greenspace,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=301,"(47.733024, -122.364545)"
47.639414,-122.406385,Carleton Center,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=305,"(47.639414, -122.406385)"
47.602022,-122.329875,City Hall Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=306,"(47.602022, -122.329875)"
47.66538,-122.40014,Commodore Park,,Parks,3330 W COMMODORE WAY,http://www.seattle.gov/parks/park_detail.asp?ID=308,"(47.66538, -122.40014)"
47.61913,-122.341049,Denny Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=309,"(47.61913, -122.341049)"
47.618767,-122.36087,Myrtle Edwards Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=311,"(47.618767, -122.36087)"
47.609472,-122.330904,Freeway Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=312,"(47.609472, -122.330904)"
47.627316,-122.367205,Kinnear Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=314,"(47.627316, -122.367205)"
47.626151,-122.356978,Kinnear Place,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=315,"(47.626151, -122.356978)"
47.655064,-122.391157,Lawton Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=316,"(47.655064, -122.391157)"
47.633427,-122.397348,Magnolia Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=317,"(47.633427, -122.397348)"
47.629436,-122.366805,Marshall Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=320,"(47.629436, -122.366805)"
47.643241,-122.353356,Mayfair Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=321,"(47.643241, -122.353356)"
47.6560301481679,-122.349221502422,B.F. Day Playground,,Parks,4020 Fremont Ave N,http://www.seattle.gov/parks/park_detail.asp?ID=241,"(47.6560301481679, -122.349221502422)"
47.66729167168,-122.369684036369,Gilman Playground,,Parks,923 NW 54th St,http://www.seattle.gov/parks/park_detail.asp?ID=242,"(47.66729167168, -122.369684036369)"
47.6597179137182,-122.361346842948,Ross Playground,,Parks,4320 4th Ave NW,http://www.seattle.gov/parks/park_detail.asp?ID=248,"(47.6597179137182, -122.361346842948)"
47.6951336977073,-122.358700739135,Sandel Playground,,Parks,9053 1st Ave NW,http://www.seattle.gov/parks/park_detail.asp?ID=250,"(47.6951336977073, -122.358700739135)"
